排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),市場,年月,月資料,日資料,追蹤狀態,風險標籤,revenue_month,market_date,資料版本
1,2536,宏普,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 367.4%，月增 9513.2%，符合低基期轉強預篩,-,-,是,是,否,是,是,S,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,90.0,22.1,1235,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
2,8422,可寧衛*,綠能環保;循環經濟,再生能源、環保處理、循環經濟或節能相關公司。,營收年增 199.6%，月增 227.6%，符合低基期轉強預篩,-,-,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,28.2,6306,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
3,2539,櫻花建,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 418.9%，月增 43.0%，符合低基期轉強預篩,-,-,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,77.9,39.3,1029,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
4,2537,聯上發,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 128.5%，月增 145.9%，符合低基期轉強預篩,-,-,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,75.0,12.0,4524,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
5,2543,皇昌,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 86.1%，月增 15.6%，符合低基期轉強預篩,-,-,是,是,否,是,否,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.2,45.0,1495,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
6,5534,長虹,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 452.6%，月增 132.1%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,82.8,1882,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
7,8112,至上,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 253.2%，月增 53.8%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,97.7,10704,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
8,5522,遠雄,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 191.6%，月增 182.2%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,74.7,1075,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
9,3041,揚智,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 97.9%，月增 45.3%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,63.1,28.6,9452,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
10,3022,威強電,AI伺服器;PC/NB;邊緣運算,PC、筆電、伺服器、AI伺服器或週邊設備相關公司。,營收年增 92.4%，月增 39.3%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,59.9,84.6,1046,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
11,4967,十銓,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 112.6%，月增 26.8%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,58.1,278.5,2624,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
12,2885,元大金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 928.4%，月增 23.2%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,57.0,67.1,13674,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
13,6901,鑽石投資,其他,其他相關公司，需再追蹤產品組合與主要客戶。,營收年增 407.5%，月增 22.3%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.7,16.65,2937,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
14,2889,國票金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 147.9%，月增 5.7%，符合低基期轉強預篩,-,-,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.7,15.25,4300,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
