排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,觀察評等,風險說明,強度分數,收盤價,當天成交量(張),市場,年月,觀察節奏,風險標籤
1,8422,可寧衛*,綠能環保;循環經濟,再生能源、環保處理、循環經濟或節能相關公司。,營收年增 199.6%，月增 227.6%，符合低基期轉強預篩,+199.61%,+227.59%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,28.05,8544,上市,2026-05,研究觀察,一般觀察
2,5534,長虹,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 452.6%，月增 132.1%，符合低基期轉強預篩,+452.59%,+132.13%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,75.0,82.3,2868,上市,2026-05,研究觀察,一般觀察
3,5522,遠雄,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 191.6%，月增 182.2%，符合低基期轉強預篩,+191.64%,+182.24%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,75.0,76.2,1982,上市,2026-05,研究觀察,一般觀察
4,2537,聯上發,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 128.5%，月增 145.9%，符合低基期轉強預篩,+128.49%,+145.91%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,75.0,11.4,7179,上市,2026-05,研究觀察,一般觀察
5,3041,揚智,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 97.9%，月增 45.3%，符合低基期轉強預篩,+97.94%,+45.28%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,73.1,26.4,5305,上市,2026-05,研究觀察,一般觀察
6,2889,國票金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 147.9%，月增 5.7%，符合低基期轉強預篩,+147.94%,+5.74%,是,否,否,是,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.7,15.1,12552,上市,2026-05,研究觀察,一般觀察
7,2543,皇昌,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 86.1%，月增 15.6%，符合低基期轉強預篩,+86.14%,+15.57%,是,是,否,是,否,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.2,47.0,1104,上市,2026-05,研究觀察,一般觀察
8,2548,華固,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 9203.6%，月增 -67.1%，符合低基期轉強預篩,+9203.56%,-67.05%,是,否,否,是,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,104.0,4679,上市,2026-05,研究觀察,月增轉弱、低基期需確認
9,3535,晶彩科,光電;面板;光通訊/CPO,面板、LED、光學元件、光通訊或顯示相關公司。,營收年增 2229.0%，月增 458.5%，符合低基期轉強預篩,+2229.03%,+458.51%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,128.0,1287,上市,2026-05,研究觀察,一般觀察
10,8112,至上,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 253.2%，月增 53.8%，符合低基期轉強預篩,+253.18%,+53.79%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,95.8,17410,上市,2026-05,研究觀察,一般觀察
