排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),市場,年月,單月營收_千元,月營收金額,去年同月營收,月資料,revenue_month,market_date,日資料,資料版本,追蹤狀態,風險標籤
1,5534,長虹,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 452.6%，月增 132.1%，符合低基期轉強預篩,+452.59%,+132.13%,是,是,否,是,是,S,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,90.0,78.9,3493,上市,2026-05,498821,4.99億元,"9,027萬元",2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
2,2536,宏普,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 367.4%，月增 9513.2%，符合低基期轉強預篩,+367.43%,+9513.20%,是,是,否,是,是,S,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,90.0,21.3,1948,上市,2026-05,4047444,40.47億元,8.66億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
3,4164,承業醫,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 80.2%，月增 78.6%，符合低基期轉強預篩,+80.21%,+78.56%,是,是,否,是,是,S,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,85.1,30.4,1158,上市,2026-05,543502,5.44億元,3.02億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
4,8422,可寧衛*,綠能環保;循環經濟,再生能源、環保處理、循環經濟或節能相關公司。,營收年增 199.6%，月增 227.6%，符合低基期轉強預篩,+199.61%,+227.59%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,28.95,13390,上市,2026-05,1272922,12.73億元,4.25億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
5,1529,樂事綠能,05,05相關公司，需再追蹤產品組合與主要客戶。,營收年增 158.3%，月增 236.1%，符合低基期轉強預篩,+158.34%,+236.10%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,22.7,1298,上市,2026-05,119546,1.20億元,"4,627萬元",2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
6,1618,合機,06,06相關公司，需再追蹤產品組合與主要客戶。,營收年增 153.2%，月增 233.4%，符合低基期轉強預篩,+153.16%,+233.39%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,42.35,1065,上市,2026-05,615760,6.16億元,2.43億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
7,2539,櫻花建,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 418.9%，月增 43.0%，符合低基期轉強預篩,+418.93%,+42.97%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,77.9,38.65,1767,上市,2026-05,2952505,29.53億元,5.69億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
8,5522,遠雄,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 191.6%，月增 182.2%，符合低基期轉強預篩,+191.64%,+182.24%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,75.0,73.8,3467,上市,2026-05,646613,6.47億元,2.22億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
9,2537,聯上發,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 128.5%，月增 145.9%，符合低基期轉強預篩,+128.49%,+145.91%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,75.0,11.1,5212,上市,2026-05,71212,"7,121萬元","3,117萬元",2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
10,3041,揚智,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 97.9%，月增 45.3%，符合低基期轉強預篩,+97.94%,+45.28%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,73.1,30.95,7399,上市,2026-05,173813,1.74億元,"8,781萬元",2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
11,5519,隆大,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 88.7%，月增 47.1%，符合低基期轉強預篩,+88.65%,+47.11%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,71.3,33.55,1054,上市,2026-05,172901,1.73億元,"9,165萬元",2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
12,6901,鑽石投資,其他,其他相關公司，需再追蹤產品組合與主要客戶。,營收年增 407.5%，月增 22.3%，符合低基期轉強預篩,+407.46%,+22.34%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.7,17.35,4640,上市,2026-05,692717,6.93億元,1.37億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
13,2889,國票金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 147.9%，月增 5.7%，符合低基期轉強預篩,+147.94%,+5.74%,是,否,否,是,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.7,15.05,8104,上市,2026-05,1588661,15.89億元,6.41億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
14,2543,皇昌,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 86.1%，月增 15.6%，符合低基期轉強預篩,+86.14%,+15.57%,是,是,否,是,否,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.2,42.95,2049,上市,2026-05,1548459,15.48億元,8.32億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
15,1808,潤隆,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 87447.7%，月增 -21.9%，符合低基期轉強預篩,+87447.70%,-21.90%,是,否,否,是,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,30.6,3951,上市,2026-05,1754456,17.54億元,200萬元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,月增轉弱、低基期需確認
