排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),price_source,price_source_status,market_date,official_rank_eligible,市場,年月,單月營收_千元,月營收金額,去年同月營收,月資料,revenue_month,日資料,資料版本,追蹤狀態,風險標籤
1,6442,光聖,網通;光通訊;CPO,網通設備、通訊模組、光通訊或電信設備相關公司。,營收年增 116.0%，月增 94.7%，符合低基期轉強預篩,+116.02%,+94.67%,是,是,否,是,是,S,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,90.0,1680.0,3598,yfinance,verified,2026-06-26,True,上市,2026-05,1725672,17.26億元,7.99億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
2,4164,承業醫,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 80.2%，月增 78.6%，符合低基期轉強預篩,+80.21%,+78.56%,是,是,否,是,是,S,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,85.1,29.6,1261,yfinance,verified,2026-06-26,True,上市,2026-05,543502,5.44億元,3.02億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
3,3535,晶彩科,光電;面板;光通訊/CPO,面板、LED、光學元件、光通訊或顯示相關公司。,營收年增 2229.0%，月增 458.5%，符合低基期轉強預篩,+2229.03%,+458.51%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,112.0,2299,yfinance,verified,2026-06-26,True,上市,2026-05,110652,1.11億元,475萬元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
4,8422,可寧衛*,綠能環保;循環經濟,再生能源、環保處理、循環經濟或節能相關公司。,營收年增 199.6%，月增 227.6%，符合低基期轉強預篩,+199.61%,+227.59%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,28.25,15843,yfinance,verified,2026-06-26,True,上市,2026-05,1272922,12.73億元,4.25億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
5,5522,遠雄,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 191.6%，月增 182.2%，符合低基期轉強預篩,+191.64%,+182.24%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,64.1,2312,yfinance,verified,2026-06-26,True,上市,2026-05,646613,6.47億元,2.22億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
6,1618,合機,06,06相關公司，需再追蹤產品組合與主要客戶。,營收年增 153.2%，月增 233.4%，符合低基期轉強預篩,+153.16%,+233.39%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,39.6,1245,yfinance,verified,2026-06-26,True,上市,2026-05,615760,6.16億元,2.43億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
7,2539,櫻花建,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 418.9%，月增 43.0%，符合低基期轉強預篩,+418.93%,+42.97%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,77.9,38.1,1119,yfinance,verified,2026-06-26,True,上市,2026-05,2952505,29.53億元,5.69億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
8,4934,太極,光電;面板;光通訊/CPO,面板、LED、光學元件、光通訊或顯示相關公司。,營收年增 281.1%，月增 36.9%，符合低基期轉強預篩,+281.10%,+36.94%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,76.1,16.3,1641,yfinance,verified,2026-06-26,True,上市,2026-05,19764,"1,976萬元",519萬元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
9,1444,力麗,04,04相關公司，需再追蹤產品組合與主要客戶。,營收年增 81.0%，月增 72.0%，符合低基期轉強預篩,+81.02%,+72.05%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,70.3,7.41,5469,yfinance,verified,2026-06-26,True,上市,2026-05,1072308,10.72億元,5.92億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
10,3022,威強電,AI伺服器;PC/NB;邊緣運算,PC、筆電、伺服器、AI伺服器或週邊設備相關公司。,營收年增 92.4%，月增 39.3%，符合低基期轉強預篩,+92.40%,+39.29%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,69.9,81.3,4791,yfinance,verified,2026-06-26,True,上市,2026-05,888586,8.89億元,4.62億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
11,2889,國票金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 147.9%，月增 5.7%，符合低基期轉強預篩,+147.94%,+5.74%,是,否,否,是,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.7,14.8,12432,yfinance,verified,2026-06-26,True,上市,2026-05,1588661,15.89億元,6.41億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
12,2543,皇昌,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 86.1%，月增 15.6%，符合低基期轉強預篩,+86.14%,+15.57%,是,是,否,是,否,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.2,38.3,1637,yfinance,verified,2026-06-26,True,上市,2026-05,1548459,15.48億元,8.32億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
13,6691,洋基工程,AI伺服器供應鏈;設備;電子製造服務,電子製造服務、設備、材料或AI伺服器供應鏈公司。,營收年增 82.4%，月增 34.2%，符合低基期轉強預篩,+82.36%,+34.17%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.8,793.0,1680,yfinance,verified,2026-06-26,True,上市,2026-05,3835624,38.36億元,21.03億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
14,8112,至上,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 253.2%，月增 53.8%，符合低基期轉強預篩,+253.18%,+53.79%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,91.2,17775,yfinance,verified,2026-06-26,True,上市,2026-05,53921149,539.21億元,152.67億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
